Price,Location,Number of Rooms,Area,Floor
129500,Xırdalan,5 otaqlı,120 m²,4/5 mərtəbə
60000,Buzovna q.,N/A,N/A,N/A
134000,Novxanı q.,N/A,N/A,N/A
430000,Şah İsmayıl Xətai m.,3 otaqlı,143 m²,7/12 mərtəbə
64000,Xırdalan,1 otaqlı,42 m²,4/9 mərtəbə
35000,Elmlər Akademiyası m.,N/A,N/A,N/A
125000,İnşaatçılar m.,2 otaqlı,62 m²,15/18 mərtəbə
200000,Xırdalan,N/A,N/A,N/A
90500,Xırdalan,N/A,N/A,N/A
360000,Badamdar q.,N/A,N/A,N/A
36000,Hökməli q.,N/A,N/A,N/A
218000,Gənclik m.,3 otaqlı,90 m²,6/9 mərtəbə
165000,8-ci mikrorayon q.,3 otaqlı,80 m²,8/9 mərtəbə
20000,Xaçmaz,N/A,N/A,N/A
120000,Həzi Aslanov m.,2 otaqlı,65 m²,7/9 mərtəbə
245000,Nəsimi r.,2 otaqlı,65 m²,5/7 mərtəbə
279000,Azadlıq Prospekti m.,4 otaqlı,140 m²,1/5 mərtəbə
140000,Memar Əcəmi m.,2 otaqlı,50 m²,12/19 mərtəbə
980000,Xətai r.,N/A,N/A,N/A
68000,İçəri Şəhər m.,1 otaqlı,30 m²,1/2 mərtəbə
198000,Nəsimi r.,2 otaqlı,94 m²,13/14 mərtəbə
290000,Nəsimi r.,3 otaqlı,95 m²,16/17 mərtəbə
70000,Zabrat q.,N/A,N/A,N/A
97000,Xırdalan,2 otaqlı,63 m²,4/16 mərtəbə
75000,Məmmədli q.,N/A,N/A,N/A
21500,Pirşağı q.,N/A,N/A,N/A
225000,Həzi Aslanov m.,3 otaqlı,110 m²,13/17 mərtəbə
61500,Xırdalan,1 otaqlı,40 m²,1/9 mərtəbə
578000,Ağ şəhər q.,4 otaqlı,3 m²,2/8 mərtəbə
658631,Nardaran q.,3 otaqlı,2 m²,4/7 mərtəbə
290000,Buzovna q.,N/A,N/A,N/A
900000,Sahil m.,4 otaqlı,120 m²,8/9 mərtəbə
148000,Binəqədi r.,2 otaqlı,58 m²,3/16 mərtəbə
223000,Əhmədli q.,3 otaqlı,105 m²,9/20 mərtəbə
535000,Şüvəlan q.,N/A,N/A,N/A
39000,Xaçmaz,N/A,N/A,N/A
350000,Mərdəkan q.,N/A,N/A,N/A
149600,7-ci mikrorayon q.,2 otaqlı,55 m²,16/17 mərtəbə
125000,Yasamal r.,2 otaqlı,64 m²,8/18 mərtəbə
118000,Novxanı q.,N/A,N/A,N/A
390000,Gənclik m.,3 otaqlı,130 m²,11/17 mərtəbə
93000,Bülbülə q.,N/A,N/A,N/A
261900,Səbail r.,2 otaqlı,97 m²,9/12 mərtəbə
115000,Həzi Aslanov m.,2 otaqlı,50 m²,8/17 mərtəbə
210000,Hövsan q.,N/A,N/A,N/A
345000,İnşaatçılar m.,3 otaqlı,135 m²,10/16 mərtəbə
120000,28 May m.,1 otaqlı,36 m²,4/4 mərtəbə
137000,Nəriman Nərimanov m.,2 otaqlı,105 m²,5/5 mərtəbə
184000,28 May m.,3 otaqlı,70 m²,14/15 mərtəbə
210000,Azadlıq Prospekti m.,4 otaqlı,110 m²,5/5 mərtəbə
368000,Şah İsmayıl Xətai m.,4 otaqlı,160 m²,9/16 mərtəbə
228000,Şah İsmayıl Xətai m.,2 otaqlı,110 m²,19/19 mərtəbə
257000,Nəriman Nərimanov m.,3 otaqlı,107 m²,14/14 mərtəbə
307000,Şah İsmayıl Xətai m.,3 otaqlı,157 m²,4/20 mərtəbə
185000,Şah İsmayıl Xətai m.,2 otaqlı,59 m²,6/15 mərtəbə
114000,9-cu mikrorayon q.,2 otaqlı,48 m²,6/9 mərtəbə
209000,Həzi Aslanov m.,3 otaqlı,76 m²,9/21 mərtəbə
56000,Hövsan q.,1 otaqlı,40 m²,1/7 mərtəbə
509243,28 May m.,4 otaqlı,4 m²,4/18 mərtəbə
106000,Həzi Aslanov q.,3 otaqlı,80 m²,3/5 mərtəbə
200000,Gənclik m.,2 otaqlı,65 m²,7/16 mərtəbə
425000,Nəsimi r.,3 otaqlı,135 m²,14/20 mərtəbə
189000,Nəriman Nərimanov m.,2 otaqlı,60 m²,7/14 mərtəbə
52000,Xırdalan,2 otaqlı,37 m²,3/6 mərtəbə
186000,Nəsimi r.,2 otaqlı,57 m²,9/16 mərtəbə
89000,Mərdəkan q.,N/A,N/A,N/A
199000,Nəriman Nərimanov m.,2 otaqlı,67 m²,16/17 mərtəbə
365000,Şah İsmayıl Xətai m.,3 otaqlı,156 m²,12/16 mərtəbə
350000,Şah İsmayıl Xətai m.,3 otaqlı,156 m²,13/18 mərtəbə
250000,Nəriman Nərimanov m.,2 otaqlı,96 m²,10/16 mərtəbə
312000,Şah İsmayıl Xətai m.,3 otaqlı,156 m²,3/18 mərtəbə
77000,Şüvəlan q.,N/A,N/A,N/A
182000,Nəsimi m.,3 otaqlı,89 m²,14/18 mərtəbə
176000,Novxanı q.,N/A,N/A,N/A
68000,Həzi Aslanov q.,N/A,N/A,N/A
95000,Buzovna q.,N/A,N/A,N/A
165000,Biləcəri q.,2 otaqlı,73 m²,14/14 mərtəbə
152000,Elmlər Akademiyası m.,2 otaqlı,60 m²,1/5 mərtəbə
425000,Mərdəkan q.,N/A,N/A,N/A
155000,İnşaatçılar m.,2 otaqlı,79 m²,10/20 mərtəbə
250000,Həzi Aslanov m.,3 otaqlı,109 m²,8/19 mərtəbə
920000,Novxanı q.,N/A,N/A,N/A
98000,Bilgəh q.,N/A,N/A,N/A
685000,İçəri Şəhər m.,4 otaqlı,153 m²,3/15 mərtəbə
202000,Qəbələ,N/A,N/A,N/A
234000,Azadlıq Prospekti m.,2 otaqlı,100 m²,7/17 mərtəbə
54500,Binə q.,N/A,N/A,N/A
155000,9-cu mikrorayon q.,3 otaqlı,75 m²,6/9 mərtəbə
125000,Yasamal r.,2 otaqlı,70 m²,3/9 mərtəbə
189000,Həzi Aslanov m.,3 otaqlı,140 m²,12/17 mərtəbə
248000,Həzi Aslanov m.,3 otaqlı,110 m²,10/18 mərtəbə
